creator_EOA,contract address,num_addresses
0x8FE2e08e450e34Ee280d4F0c640568a79163bFE4,"['0xc791799aF4E56689C982DA10AF5A77316533154a', '0x6D7bdF6a6a02Cd718743BD2DC0612Cfc3335baaC', '0x61f902b26fBeAf023db4c6cFfE1265d9dFB25C50', '0x9343A59de9F7D961988f4b41438567CF8C1011dA', '0xC3c9406c40E176C7c80e78940Feaa2C762bF8987', '0xeCf39E7f80CF83e2D6F0e41DCfa22241AD52B94C']",6
0x9c66B0c68c144Ffe33E7084FE8cE36EBC44aD21e,"['0xF821Cbb5246cBFa066bCeB0a9a6a9Fc0DEF1eEe5', '0xb25B06CE27D687760cC75333dc172eDD9873d51d', '0x35F38dae50F2804D683D87A574C375c621fC431f', '0x42c0a542CCdbD3b5Cb575b536b7bba9Ed89c89F0', '0xe9616ff20ad519Bce0e3D61353a37232F0c27A50', '0xdFAB027d59737f231C63D9C21a0F85491cE7D43f', '0x804A1af0d7338046ffeb8E9DDC553883E087a9cb', '0x22cF3BbE32173650D143217d85986cd86e3c9366', '0x1DF3b68c74F53AFD48AEBC838Bf77C08808532aA', '0x5d6db5B774830848C64C407AdD3918782957b8F6']",10
0xA95760f894309751cc81ccc63653424806D01DdF,"['0x4349E937b48F53b173B2814c22E3d6f921C075F5', '0x3F1EdD31906A0bC64EEFEB6F8Fac20EE6d806fBF', '0x2203DEfcFf8952136aE8db48B4D1795E6957E3a8', '0xA91D155819Ac318152b72CaE8969D10189964557', '0x9BF5b6F97d1DD6e5D027E8eA9511422cA3ceC54c', '0x92157e3ae934F797F1bc2CD7fc6D794Ad74596d7', '0x38EA1c63264272C3E91cce5d56eEF89dcB93703E']",7
0xB495573Cd2246e7cc7D6d2B37d779463295e5ab0,"['0xC9CB27e55E889d2D08A68B2467403fcCA5c7E67a', '0x5b76DB1DDcdC3238cF673047414Ef6F0DfE6667a', '0x4d67D1a4F35c1362ED6Be1876Dae11Abce33EE73']",3
0xC3cC5Fc2D2A28f40226bEb77DaccA6a6F73e6d31,"['0x793248B40477Ce96bf08aEAB3f9447c99B9c80E7', '0x4812C05326Eb13cB71e1Bad9fe85871A88c0DA07', '0xbE18ac521CEf654137Dfd33CeFF0dCF45ED86d06', '0x131E044f24f6CceE66337dC66482b041DB12dfbc', '0x4545fbE1f996B2954C02ba1471d8184Ef6f654Ad', '0xFA5Ca3a1543013B586BF16972E981DEbD238Bc16', '0x6cB7FC5e17c4b10EDECF41ca8C451417B280c205', '0xd535c585605965DdfcBAB2B959513ee56c663ea5', '0x5a8C07F48D53839581E8ca6C4C2775e0DE527393']",9
0xCE60E4afa51e74CAE7969D5Cf74Ab6c1772eFEa6,"['0x975A1eE8184365c8f6165Bbd1F32A2CDDDb0BAe5', '0xC859fC56A7004119CaEb8A482a3Ff64c291af321', '0xf69FF99997f250833f7ea246C76E76E99E2F097C', '0xD7bBAb9B84ea18F7d1171aE6093D6823AcF97cf6', '0x611e8D045D3630790A86B153B82D9DF3ce252886', '0x4A734d20b54cc28d7341e55b63Bd0dD5Bb61aF84', '0x6EDbbACaC67502A6bFDA33144AA5D9c2a441e664', '0xdb25A01E832fAe55403215607c1D02E3F2CBB7d1', '0x314eFBecB25c070eAB4785d6Ec643f26aC487066', '0x7eC96907369585DC892993A0ef2e1ac31B67969a', '0xA24a3F8908aEC6B87a3e48EBA8D6Ce6FfE48091B', '0x5d28F238F00ef531ff179e4a69e7036ab262c08e', '0x2e058CcDAA2C23D883E66429f4b303047da48996', '0xE7e68E794c50285f44674F358565776783370578', '0xF235d8478a5dCC2349cECCDE9d3a90aa3dDBE1f3', '0x1059FffD56f5F413E75388155E8DbF02Dd6Fd27e', '0xF47E496221Ce24d75d978e52F48E24bbb2dba777', '0xD7ddF0Dd0A84B7BE166d055585b8f8c1CD506879', '0x6B10784a92775f04a7E45cf1037E8e3779925711', '0x0485337263f52C4D8A9429Fa37f6094b17350bdB', '0x94f989ea8A937632189595E2f954C9f25F1f98d7', '0x6975676ddA0E622922aa0A926329fdFdB86de201', '0x174D3fC05b9620adE3E9d41e95c6b5A9df2F0730', '0xfD334FFB7eb6e68974bcbC6e446fd810511Be0ae', '0x443bbDB7305074922c3723d025169AE9AeCF284D', '0x9fb660B282fA2E74FCB6B5a18f9AFc94C2d7c47E', '0x8bC5D92ee6b7ed1AF20cA8813C5A13f1e558cE6F', '0x9CDc3b6BB62847ED3803724472Ed842856256812', '0xa0e1A1916dEB4d51FAEcF5a58631c5B0D1CA2590', '0xe281b65614Ca33a8384c24b6Fe3d06c6293A9Aef', '0x88Caa51B84C1E3a811c0000951B508c5B7a0f82e', '0xA1afDAbE32798c048636284d3AF01274Ac1171ba', '0x2E21b5d2d11A3A601b642540071ffaAb3990A89f', '0xC379fBf62E87B2A1C3338555F7738F7CFa4F717b', '0x21EA6611cEdB17b69a672fC6f024106470660FBF', '0x479b30F8Fd044F2514Cc866c13Da7e04e682af48', '0xEf7F068fc7E4b08A2FB2a76da845D76F50285634', '0x7c02C598f10D31C2b4F32164181B775d44d4F357', '0xE2eb40d3D753EED8DF77Ed9da80912c7C1c12b86', '0x905e8C12BA0821095f07776e6EFbA030b1961Aa0', '0x8D1C79BEE15e56d9f8E5b1B530a676eE3476328d']",41
0xE9F2E8a1e956051ffa6709109854739A9BE22d12,"['0x508C92C1FCE5a296De95a80eF27586FE5648E054', '0xB14049Ac6e846286d8E9653F8D96cE99D72579Ca', '0x03D84483eBce45d54C8f12aE0C758a30d23cf145', '0x144dC9A9B991e187F414D3523b8934d14657f8f1', '0xDb3f039abd59441a2936B05C58ce6D2999F344c1', '0x1461d7B3cBE093a651fD9e66aC9003C2ccAD2424', '0xC1909E60FFDA6A3c01488159E9371fCc72AC5c47', '0x1c0cCE9953EC6025036C8702e4465BB85E8A7517', '0xE75A444D6f6286D4AC79ba7914a10f67e5c111AB', '0x68E92b37e48429be257EE31E7b8854C23f2da351', '0xea87D8AfE3E00E7570a294bE8720a30A828e5A87', '0x45A7d5E64F1eF33f0C2198d687C4F29667601987', '0x6938443BA79EcaB316374c7619562c8Bc6CB9566']",13
0xEd6550C6C43c837E4793d459b60eD39134DF0641,"['0xE047ef858fCe70A610032FFbC4f12C231b29AFF4', '0x7b5Ea482f53a3ebdBCac9E6965801B6023dfeB46', '0x45d92c22C683236D92FE9a5c3e335e8BBAD4Ff9f', '0x7d445f9804D933D162Cd013A4844b9283d8e3e61', '0x09162225331d8f2A36CE6c5e9aB935d43491a6aF', '0x66E844c138cEBc441581cE5a71CC73BA5D6303B8', '0x03B1cd84Dd2EdF1442A6928EccFE5C2e039A792B', '0x0cc30aA6220D18A5EcB549CA72ea808181154A61']",8
0xF610e3A4eF3b19b9cF8Dc88E4Cc26B2f96EC1410,"['0xf89fe3a2ab52c7eBabB8f8F4d763f2Eeea5Fd5ce', '0x453198BE28eCB2C4121569dd5CC5C7086244DBC9']",2
0xF7Eaf1985D272F8335F01DEa6e69886EBC0Dd94F,"['0x5Cf5C44f734839a216276DD5936860fd73A7c5e2', '0xbCA6FC25c732502Fd97FBc4e74Ea31AB78288E4e', '0xC4b1D2516Fb06638c010ad81F328294732597021']",3
