contract address,creator_EOA,block chain platform,created block,created time,attack block,attack time,attack tx,time gap,detection cost,Sender,Receiver,profit,phalcon_url,new attack
0x6dab590b90e6ab94d6031fb39dd21b4776ee4684,0x438DD72B72ca0F2Be70B712927909644612f4A7F,ETH,16708419,2023/2/25 22:59:59,16708419,2023/2/25 23:01:11,0x96a51ebd8fa98a90b92968bcaedc4f12a9c4a50b71dd0389cb3e01b53a2a2c28,72s,,,,838.14,https://app.blocksec.com/explorer/tx/eth/0x96a51ebd8fa98a90b92968bcaedc4f12a9c4a50b71dd0389cb3e01b53a2a2c28,TRUE
0x2a6aa49b9138b66ba2b81c33435d01c84848afbc,0xEd187F37E5Ad87d5b3B2624C01dE56C5862b7a9B,ETH,18031880,2023/8/31 03:30:35,18031881,2023/8/31 03:30:47,0xfc79d4ddce8e8f9444c5c5d08305619b260753342e24e790d494b8d680a07c3b,12s,,,,4747,https://app.blocksec.com/explorer/tx/eth/0xfc79d4ddce8e8f9444c5c5d08305619b260753342e24e790d494b8d680a07c3b,labeled
0x193E045BeE45C7573Ff89b12601C745AF739CE67,0x87F585809Ce79aE39A5fa0C7C96d0d159eb678C9,ETH,19118660,2024/1/30 10:14:35,19118660,2024/1/30 10:14:35,0x26a83db7e28838dd9fee6fb7314ae58dcc6aee9a20bf224c386ff5e80f7e4cf2,0s,,,,6389211,https://app.blocksec.com/explorer/tx/eth/0x26a83db7e28838dd9fee6fb7314ae58dcc6aee9a20bf224c386ff5e80f7e4cf2,found on X
0x21a624e893e43d2d36b178fd258ec465aba0ed55,0x1fb9108D5e4D95F89a954a09A9Ded4D23c3F4015,ETH,15039071,2022/6/28 09:45:44,,,,,,,,,,,
0xb65c2ba401d5fcb60dfa748fe80b69525c47fd5e,0x751f4F0036300C7686E035BBebc6bfC217047542,ETH,19109391,2024/1/29 03:06:23,,,,,,,,,,,
0x7b83c834317bb1851506aa74c46b252584805b1c,0xf8B12b03B659AeEb70952d811A35E27785b8f0ba,ETH,15572446,2022/9/22 04:54:47,,,,,,,,,,,
0x000000000057a6ded7c7f9260355ef32e2b997c0,0x18E01C7Bf3A2dB1cFb576C7c5a02b1a6eC9f1CAf,ETH,15007481,2022/6/22 11:49:57,,,,,,,,,,,
0x024e646d0342c61aebfcc6948d3667ae5aea638e,0x31071a1e1504867EEC86d312901bE12EF0Ebc4bd,ETH,15336749,2022/8/14 01:08:24,,,,,,,,,,,
0x0000000000c4faebd587ca26cd5b93867b8625f1,0x6eE0d00D95Ae41Bf4fBAB3eD12DD149fEF59Afd6,ETH,15004440,2022/6/21 22:02:31,,,,,,,,,,,
0x528a1b858223f7c6031db235a2210e1a15bf4e5f,0x438DD72B72ca0F2Be70B712927909644612f4A7F,ETH,16744852,2023/3/3 01:55:59,16744853,2023/3/3 01:56:11,,12s,,,,754.3,https://app.blocksec.com/explorer/tx/eth/0xb298c5d8b20a99dabd68312bdd5d508938f6de99d8bbf924bfaa7d6e530e3595,TRUE
0x60dca8e36b27ac74fc2daff71ba8954d63ec0ec6,0x000000000040229aaCc52D3a795212c7432c78Bc,ETH,15039071,2022/6/28 09:45:44,,,,,,,,,,
0x49de0cfc7a9563107d9cecd25c3939b16b84743b,0xE866138E6D8c57599E1Cc685dc1E3EBCEcc75e6E,ETH,18074657,2023/9/6 03:12:23,,,,0s,,,,,,,
0xd22cb69efe88a73c96d2e2eca224251e565976a6,0x2FFeDE78F8911c86eaEe314fa8fc91eAB89940C7,ETH,16780683,2023/3/8 02:50:11,,,,,,,,,,,
0xe3b9bd5145286725653bfdcf3bfafecda2f69a90,0xE311BFD4CE91a5c3f600a8F235111003C7D6F987,ETH,19133838,2024/2/1 13:19:47,,2024/2/1 13:35:23,,,,,,43.76,,
0x00000000008691a9b04d28fb59e8b6526fc341a6,0xF7d0145C5E973b10f6fBaE626F08025B9c9AdC31,ETH,15007026,2022/6/22 09:46:58,,,,,,,,,,,
0x2d89fb83c66b6c7c35818382517959e33a655b13,0xDFAB184BC668f16C1cb949228068588106924569,ETH,18759499,2023/12/11 00:50:47,18759541,2023/12/11 00:59:11,0x1106418384414ed56cd7cbb9fedc66a02d39b663d580abc618f2d387348354ab,8m 24s,,,,129732.8,https://app.blocksec.com/explorer/tx/eth/0x1106418384414ed56cd7cbb9fedc66a02d39b663d580abc618f2d387348354ab,TRUE
0xd71875b54a0c8c0061ad0898a554849b3640d3e2,0x4cD6962D439fA4C5fA2d6ca645d89e85d468d882,ETH,18605724,2023/11/19 12:01:23,18613317,2023/11/19 12:16:59,0xa984b7c4e3527e3e58ef913950187e3bce3c61e1806fda8918a5a2deaada696c,,,,,0.0022,https://app.blocksec.com/explorer/tx/eth/0xa984b7c4e3527e3e58ef913950187e3bce3c61e1806fda8918a5a2deaada696c,TRUE
0xc1e91f02909e781a84390536ae100018676f40b8,0xE91EB0d47Af605659Da26983cE1D467B46F0FAAd,ETH,16561996,2023/2/5 10:29:23,16562059,2023/2/5 10:41:59,0x4c45436e86b1c85ca7e6585518e8a15340bcd4a7036846a8317e5eae1088e2fb,,,,,589.86,https://app.blocksec.com/explorer/tx/eth/0x4c45436e86b1c85ca7e6585518e8a15340bcd4a7036846a8317e5eae1088e2fb,TRUE
0x004e4ceb12096d9ccd03efd342b8c2a794293032,0x00000000007CdeEDD7f45C80CE479Fff1C4e3791,ETH,15009275,2022/6/22 19:51:41,,,,,,,,,,,
0xe2cb4716c340b6b8a4719706d01c4f1c4412cfe0,0xE91EB0d47Af605659Da26983cE1D467B46F0FAAd,ETH,16649364,2023/2/17 15:39:11,16649382,2023/2/17 15:42:47,0x482a99b68ad763889b8115c1f037707e95e19016160b5b07861b9fb53d139d1c,,,,,458.17,https://app.blocksec.com/explorer/tx/eth/0x482a99b68ad763889b8115c1f037707e95e19016160b5b07861b9fb53d139d1c,TRUE
0x1e2e85bc32fb743e8d67b1420df8e7b33dfba091,0x5F6fD9d880BE6e209d5ee7a5517DfB40B8a9d81B,ETH,15651062,2022/10/1 04:56:23,15926531,2022/10/3 14:29:47,,,,,,,https://etherscan.io/advanced-filter?fadd=0xa84b9205f69782fea9a9fa5c33e5f0af4c36ce55&tadd=0x5F6fD9d880BE6e209d5ee7a5517DfB40B8a9d81B,,
