contract address,creator_EOA,block chain platform,created block,created time,attack block,attack time,attack tx,time gap,detection cost,Sender,Receiver,profit,phalcon_url,new attack
0x793248B40477Ce96bf08aEAB3f9447c99B9c80E7,0xC3cC5Fc2D2A28f40226bEb77DaccA6a6F73e6d31,BSC,35310907,2024/1/17 01:54:47,35310922,2024/1/17 01:55:32,0x57f71406d6edf769d67f6b464a57ab799e339ae66d8fd4ace4aa8d8b21a0f6bf,45s,350.0600435845554,,,,https://app.blocksec.com/explorer/tx/bsc/0x57f71406d6edf769d67f6b464a57ab799e339ae66d8fd4ace4aa8d8b21a0f6bf,,
0xc791799aF4E56689C982DA10AF5A77316533154a,0x8FE2e08e450e34Ee280d4F0c640568a79163bFE4,BSC,32055468,2023/9/25 16:20:58,32055685,2023/9/25 16:32:00,0xea45b3c4df8e048927309d4ef0a937e0e4a21bb5fa4563703bba15155f57fa76,11m 2s,478.0323271006346,887.49,-889.18,887.49,https://app.blocksec.com/explorer/tx/bsc/0xea45b3c4df8e048927309d4ef0a937e0e4a21bb5fa4563703bba15155f57fa76,TRUE
0x2B5A32D97219e78B6D4b1F52ac6130a58eF9952A,0x84f37F6cC75cCde5fE9bA99093824A11CfDc329D,BSC,33537384,2023/11/16 07:47:33,33537447,2023/11/16 07:50:42,0xf51e2c90b4d10f2653e63c58d36853fb1c5d045640d6ab1f32d4d1e0504347f3,3m 9s,315.832346778363,,-87.77,87.77,https://app.blocksec.com/explorer/tx/bsc/0xf51e2c90b4d10f2653e63c58d36853fb1c5d045640d6ab1f32d4d1e0504347f3,TRUE
,,BSC,,,33537489,2023/11/16 07:52:50,0x9e59e27e4ad89385c20f2fdd223d4d747ad2278379db8375c727d72b1dd1c20f,5m 17s,,87.77,,87.77,https://app.blocksec.com/explorer/tx/bsc/0x9e59e27e4ad89385c20f2fdd223d4d747ad2278379db8375c727d72b1dd1c20f,
0x6D7bdF6a6a02Cd718743BD2DC0612Cfc3335baaC,0x8FE2e08e450e34Ee280d4F0c640568a79163bFE4,BSC,34906691,2024/1/3 00:25:43,34907385,2024/1/3 01:00:25,0x20db4d4dc68aefd3cfa1bd0c31d5ec42a085526e7040e4fe7c53e8bbcbf8974b,34m 42s,587.1005992405117,3.53,-3.53,3.53,https://app.blocksec.com/explorer/tx/bsc/0x20db4d4dc68aefd3cfa1bd0c31d5ec42a085526e7040e4fe7c53e8bbcbf8974b,TRUE
0x04Ab8E6CE3602b7B4F1eF5f6e2Af6944dCbbb0Fd,0xe6F6D3cd38e9BF1e118C8Fd1528D303d261BA4F7,BSC,34899022,2024/1/2 18:01:43,,,,,503.88075437769294,,,,,,
0x761bb48906874816Eb057b7d965B4104929a1627,0x1261E03de453fDf2C8C9F10A4F1D4b3003700000,BSC,31256823,2023/8/28 20:37:17,,,,,247.3007311783731,,,,,,
0x4349E937b48F53b173B2814c22E3d6f921C075F5,0xA95760f894309751cc81ccc63653424806D01DdF,BSC,33770886,2023/11/24 11:07:05,33770899,2023/11/24 11:07:44,0xfeb2095f35d50d9c6e8061306a8228790708f79d76729bc30c8a98b98917070f,39s,740.5391152463853,,,,https://app.blocksec.com/explorer/tx/bsc/0xfeb2095f35d50d9c6e8061306a8228790708f79d76729bc30c8a98b98917070f,,
0x4812C05326Eb13cB71e1Bad9fe85871A88c0DA07,0xC3cC5Fc2D2A28f40226bEb77DaccA6a6F73e6d31,BSC,35310581,2024/1/17 01:38:28,35310585,2024/1/17 01:38:40,0x5446c63346733b7b26bc2415962dc7f19dca7d254dac4b937b3bd87f299218a7,12s,263.14644234627485,,,,https://app.blocksec.com/explorer/tx/bsc/0x5446c63346733b7b26bc2415962dc7f19dca7d254dac4b937b3bd87f299218a7,,
0x9530942b9FCD94ffEf569057593e6eB3704f303d,0xe6F6D3cd38e9BF1e118C8Fd1528D303d261BA4F7,BSC,34897546,2024/1/2 16:47:53, ,,,,330.58203360438347,,,,,,
0x9ae127E2B060F38f796135545199929C07ccdfB1,0xe6F6D3cd38e9BF1e118C8Fd1528D303d261BA4F7,BSC,34898072,2024/1/2 17:14:12,,,,,213.6420987099409,,,,,,
